"","p..bar.","h...kJ.kg.","h....kJ.kg.","s...kJ..kgK..","s....kJ..kgK.."
"1",0.01,29.3,2513.3,0.1058,8.9732
"2",0.02,65.15,2529,0.23005,8.7743
"3",0.03,101,2544.7,0.3543,8.5754
"4",0.04,117.8,2552.03333333333,0.409766666666667,8.49303333333333
"5",0.05,134.6,2559.36666666667,0.465233333333333,8.41066666666667
"6",0.06,151.4,2566.7,0.5207,8.3283
"7",0.07,162.6,2571.5,0.55645,8.27745
"8",0.08,173.8,2576.3,0.5922,8.2266
"9",0.09,182.75,2580.1,0.62055,8.1873
"10",0.1,191.7,2583.9,0.6489,8.148
"11",0.2,240.4,2604.15,0.7962,7.95685
"12",0.3,289.1,2624.4,0.9435,7.7657
"13",0.4,314.75,2634.55,1.01705,7.678
"14",0.5,340.4,2644.7,1.0906,7.5903
"15",0.6,357.466666666667,2651.23333333333,1.1379,7.53686666666667
"16",0.7,374.533333333333,2657.76666666667,1.1852,7.48343333333333
"17",0.8,391.6,2664.3,1.2325,7.43
"18",0.9,404.5,2669.05,1.26735,7.3922
"19",1,417.4,2673.8,1.3022,7.3544
"20",2,504.6,2704.6,1.5295,7.1212
"21",3,561.3,2723.2,1.6711,6.9859
"22",4,604.5,2736.5,1.7758,6.8902
"23",5,637.35,2745.85,1.85295,6.82285
"24",6,670.2,2755.2,1.9301,6.7555
"25",7,695.4,2761.6,1.98745,6.70745
"26",8,720.6,2768,2.0448,6.6594
"27",9,741.4,2772.75,2.091,6.62185
"28",10,762.2,2777.5,2.1372,6.5843
"29",11,776.78,2779.81,2.16803,6.56009
"30",12,791.36,2782.12,2.19886,6.53588
"31",13,805.94,2784.43,2.22969,6.51167
"32",14,820.52,2786.74,2.26052,6.48746
"33",15,835.1,2789.05,2.29135,6.46325
"34",16,849.68,2791.36,2.32218,6.43904
"35",17,864.26,2793.67,2.35301,6.41483
"36",18,878.84,2795.98,2.38384,6.39062
"37",19,893.42,2798.29,2.41467,6.36641
"38",20,908,2800.6,2.4455,6.3422
