Bezeichnung,Symbol,Molmasse,[kg/kmol],Gaskonstante,[J/(kg K)],Dichte,[kg/m3], cp [J/(kg K)], cv [J/(kg K)],κ=cp/cv
Acetylen,C2H2,26.038,319.3,1.16 ,1616,1278,1.26
Ammoniak,NH3,17.031,488.2,0.76 ,2056,1526,1.35
Argon,Ar,39.948,208.1,1.76 ,519,309,1.68
Äthan,C2H6,30.070,276.5,1.34 ,1650,1355,1.22
Butan,C4H10,58.124,143.0,2.67 ,1599,1410,1.13
Chlor,Cl2,56.108,117.3,3.17 ,473,343,1.38
Chlorwasserstoff,HCl,70.906,228.0,1.62 ,795,556,1.43
Helium,He,4.003,2077.0,0.18 ,5200,3124,1.66
Kohlendioxid,CO2,44.010,188.9,1.95 ,816,618,1.32
Kohlenmonoxid,CO,28.010,296.8,1.23 ,1038,739,1.40
Luft,–,28.964,287.1,1.28 ,1006,718,1.40
Methan,CH4,16.043,518.3,0.71 ,2165,1638,1.32
Propan,C3H8,44.097,188.5,1.99 ,1549,1331,1.16
Sauerstoff,O2,31.999,259.8,1.41 ,909,647,1.40
Stickstoff,N2,28.013,296.8,1.23 ,1038,739,1.40
Wasserstoff,H2,2.016,4124.2,0.09 ,14050,9926,1.42
Xenon,Xe,131.30,63.3,5.82 ,159,93,1.71
