"","V1","V2","V3","V4"
"1",0,0.0061,0.001,206.3489
"2",1,0.00662,0.001,194.50322
"3",2,0.00714,0.001,182.65754
"4",3,0.00766,0.001,170.81186
"5",4,0.00818,0.001,158.96618
"6",5,0.0087,0.001,147.1205
"7",6,0.00942,0.001,138.97544
"8",7,0.01014,0.001,130.83038
"9",8,0.01086,0.001,122.68532
"10",9,0.01158,0.001,114.54026
"11",10,0.0123,0.001,106.3952
"12",11,0.01324,0.001,100.7089
"13",12,0.01418,0.001,95.0226
"14",13,0.01512,0.001,89.3363
"15",14,0.01606,0.001,83.65
"16",15,0.017,0.001,77.9637
"17",16,0.01828,0.001,73.93868
"18",17,0.01956,0.001,69.91366
"19",18,0.02084,0.001,65.88864
"20",19,0.02212,0.001,61.86362
"21",20,0.0234,0.001,57.8386
"22",21,0.02506,0.001,54.95276
"23",22,0.02672,0.001,52.06692
"24",23,0.02838,0.001,49.18108
"25",24,0.03004,0.001,46.29524
"26",25,0.0317,0.001,43.4094
"27",26,0.03384,0.001,41.31534
"28",27,0.03598,0.001,39.22128
"29",28,0.03812,0.001,37.12722
"30",29,0.04026,0.001,35.03316
"31",30,0.0424,0.001,32.9391
"32",31,0.04516,0.001002,31.40228
"33",32,0.04792,0.001004,29.86546
"34",33,0.05068,0.001006,28.32864
"35",34,0.05344,0.001008,26.79182
"36",35,0.0562,0.00101,25.255
"37",36,0.0597,0.00101,24.11498
"38",37,0.0632,0.00101,22.97496
"39",38,0.0667,0.00101,21.83494
"40",39,0.0702,0.00101,20.69492
"41",40,0.0737,0.00101,19.5549
"42",41,0.07812,0.00101,18.7006
"43",42,0.08254,0.00101,17.8463
"44",43,0.08696,0.00101,16.992
"45",44,0.09138,0.00101,16.1377
"46",45,0.0958,0.00101,15.2834
"47",46,0.1013,0.00101,14.63698
"48",47,0.1068,0.00101,13.99056
"49",48,0.1123,0.00101,13.34414
"50",49,0.1178,0.00101,12.69772
"51",50,0.1233,0.00101,12.0513
"52",51,0.13012,0.00101,11.55766
"53",52,0.13694,0.00101,11.06402
"54",53,0.14376,0.00101,10.57038
"55",54,0.15058,0.00101,10.07674
"56",55,0.1574,0.00101,9.5831
"57",56,0.16576,0.001012,9.2028
"58",57,0.17412,0.001014,8.8225
"59",58,0.18248,0.001016,8.4422
"60",59,0.19084,0.001018,8.0619
"61",60,0.1992,0.00102,7.6816
"62",61,0.20938,0.00102,7.38618
"63",62,0.21956,0.00102,7.09076
"64",63,0.22974,0.00102,6.79534
"65",64,0.23992,0.00102,6.49992
"66",65,0.2501,0.00102,6.2045
"67",66,0.2624,0.00102,5.97316
"68",67,0.2747,0.00102,5.74182
"69",68,0.287,0.00102,5.51048
"70",69,0.2993,0.00102,5.27914
"71",70,0.3116,0.00102,5.0478
"72",71,0.3278,0.001021,4.88399
"73",72,0.344,0.001022,4.72018
"74",73,0.3602,0.001023,4.55637
"75",74,0.3764,0.001024,4.39256
"76",75,0.3926,0.001025,4.22875
"77",76,0.4088,0.001026,4.06494
"78",77,0.425,0.001027,3.90113
"79",78,0.4412,0.001028,3.73732
"80",79,0.4574,0.001029,3.57351
"81",80,0.4736,0.00103,3.4097
"82",81,0.49635,0.001031,3.30487
"83",82,0.5191,0.001032,3.20004
"84",83,0.54185,0.001033,3.09521
"85",84,0.5646,0.001034,2.99038
"86",85,0.58735,0.001035,2.88555
"87",86,0.6101,0.001036,2.78072
"88",87,0.63285,0.001037,2.67589
"89",88,0.6556,0.001038,2.57106
"90",89,0.67835,0.001039,2.46623
"91",90,0.7011,0.00104,2.3614
"92",91,0.73232,0.00104,2.29254
"93",92,0.76354,0.00104,2.22368
"94",93,0.79476,0.00104,2.15482
"95",94,0.82598,0.00104,2.08596
"96",95,0.8572,0.00104,2.0171
"97",96,0.88842,0.00104,1.94824
"98",97,0.91964,0.00104,1.87938
"99",98,0.95086,0.00104,1.81052
"100",99,0.98208,0.00104,1.74166
"101",100,1.0133,0.00104,1.6728
